# schema,mdlic-linear-probe-v3
# config,configs/ccigpt_cifar10_s_rgb_ronly_v2.yaml
# config_sha256,5d2cf6e0448020cda88390b85713cef50487be456d4f796a63b0c87c172a6d23
# checkpoint,experiments/ccigpt_cifar10_s_rgb_ronly_v2/checkpoints/best.pth
# checkpoint_sha256,fa92bda989cef47b67c3b17ef76d99a8809859e1f0642dd93cda993424252f57
# git_commit,74f945b1473796746d88745552136037ab7c3b92
# git_dirty,True
# model_type,ccigpt
# probe_dataset,cifar10
# train_dataset_fingerprint,da5564b80e6cbae414eefd989582bef57a3ddd4856847769778d6b18931792f3
# test_dataset_fingerprint,257d0d0364ab3999af1771e7f4f1ba6f7d204e47ee706f89dd75e6c232ab63ae
# preprocessing_json,{"augmentation":null,"schema":"mdlic-linear-probe-input-v1","steps":[{"conversion":"uint8 HWC to float32 CHW in [0,1]","op":"ToTensor"}]}
# num_classes,10
# N_layers,32
# d_model,448
# model_image_size,32
# coarse_ctx,without (ablation)
# epochs,100
# lr,0.1
# batch_size,256
# selection_split,stratified validation subset of training data
# val_fraction,0.1
# split_seed,0
# selection_train_indices_sha256,7b0f454cd3ba39ec8bfa25d8620d5b54cd08986e9095b7ae01239f3e570797e8
# selection_validation_indices_sha256,a3bb8ba45ead7400ee3b9b850632810e991a22762e5d8c35928f7fea8b61f17d
# classifier_seeds,0,1,2,3,4
# selected_layer,15
# classifier_seed_variation,descriptive sample std; not a CI
# final_test_classifier_seed_mean,70.0100
# final_test_classifier_seed_std,0.0539
# sample_bootstrap_estimand,accuracy averaged over the fixed classifier seeds
# sample_bootstrap_samples,2000
# sample_bootstrap_seed,0
# final_test_sample_bootstrap_ci95_low,69.13149999999999
# final_test_sample_bootstrap_ci95_high,70.88655
stage,layer,classifier_seed,accuracy,classifier_seed_mean,classifier_seed_std,classifier_seed_min,classifier_seed_max,sample_bootstrap_ci95_low,sample_bootstrap_ci95_high
validation,18,2,69.8800,,,,,,
validation,18,3,69.9800,,,,,,
validation,18,4,69.7800,,,,,,
validation_summary,18,,,69.8840,0.0740,69.7800,69.9800,,
validation,19,0,70.2000,,,,,,
validation,19,1,70.1800,,,,,,
validation,19,2,70.1800,,,,,,
validation,19,3,70.1800,,,,,,
validation,19,4,70.1400,,,,,,
validation_summary,19,,,70.1760,0.0219,70.1400,70.2000,,
validation,20,0,70.0200,,,,,,
validation,20,1,70.0600,,,,,,
validation,20,2,69.9400,,,,,,
validation,20,3,69.8600,,,,,,
validation,20,4,70.0400,,,,,,
validation_summary,20,,,69.9840,0.0829,69.8600,70.0600,,
validation,21,0,70.4600,,,,,,
validation,21,1,70.3000,,,,,,
validation,21,2,70.3800,,,,,,
validation,21,3,70.4400,,,,,,
validation,21,4,70.3200,,,,,,
validation_summary,21,,,70.3800,0.0707,70.3000,70.4600,,
validation,22,0,69.7200,,,,,,
validation,22,1,69.7000,,,,,,
validation,22,2,69.7400,,,,,,
validation,22,3,69.8200,,,,,,
validation,22,4,69.8400,,,,,,
validation_summary,22,,,69.7640,0.0623,69.7000,69.8400,,
validation,23,0,69.0800,,,,,,
validation,23,1,68.9400,,,,,,
validation,23,2,69.0400,,,,,,
validation,23,3,69.0200,,,,,,
validation,23,4,69.1000,,,,,,
validation_summary,23,,,69.0360,0.0623,68.9400,69.1000,,
validation,24,0,68.9400,,,,,,
validation,24,1,68.8400,,,,,,
validation,24,2,68.8400,,,,,,
validation,24,3,68.8000,,,,,,
validation,24,4,68.7800,,,,,,
validation_summary,24,,,68.8400,0.0616,68.7800,68.9400,,
validation,25,0,68.1800,,,,,,
validation,25,1,68.2800,,,,,,
validation,25,2,68.3400,,,,,,
validation,25,3,68.1200,,,,,,
validation,25,4,68.1800,,,,,,
validation_summary,25,,,68.2200,0.0883,68.1200,68.3400,,
validation,26,0,67.6800,,,,,,
validation,26,1,67.7600,,,,,,
validation,26,2,67.4800,,,,,,
validation,26,3,67.5800,,,,,,
validation,26,4,67.5600,,,,,,
validation_summary,26,,,67.6120,0.1092,67.4800,67.7600,,
validation,27,0,67.1400,,,,,,
validation,27,1,67.3600,,,,,,
validation,27,2,67.1200,,,,,,
validation,27,3,67.1200,,,,,,
validation,27,4,67.2000,,,,,,
