epoch,train_loss,train_bpd,val_loss,val_bpd,val_bpd_std,lr
133,,2.544,,,,9.23e-05
134,,2.5461,6.2307,2.8635,0.0911,9.03e-05
137,,2.5412,,,,8.43e-05
138,,2.5399,6.2266,2.8588,0.0908,8.23e-05
139,,2.5386,,,,8.04e-05
140,,2.5374,6.2260,2.8585,0.0910,7.85e-05
141,,2.5381,,,,7.66e-05
142,,2.5333,6.2252,2.8577,0.0909,7.47e-05
143,,2.534,,,,7.28e-05
144,,2.5363,6.2206,2.8521,0.0908,7.10e-05
145,,2.5277,,,,6.92e-05
146,,2.5288,6.2189,2.8489,0.0908,6.74e-05
147,,2.5329,,,,6.56e-05
148,,2.5309,6.2207,2.8526,0.0909,6.39e-05
149,,2.5292,,,,6.21e-05
150,,2.5281,6.2164,2.8458,0.0909,6.05e-05
151,,2.5232,,,,5.88e-05
152,,2.5241,6.2185,2.8477,0.0909,5.71e-05
153,,2.5261,,,,5.55e-05
154,,2.524,6.2157,2.8474,0.0909,5.39e-05
155,,2.5241,,,,5.24e-05
156,,2.5208,6.2164,2.8463,0.0910,5.08e-05
157,,2.5208,,,,4.93e-05
158,,2.5209,6.2129,2.8429,0.0909,4.78e-05
159,,2.518,,,,4.64e-05
160,,2.5216,6.2145,2.8441,0.0910,4.50e-05
161,,2.5161,,,,4.36e-05
162,,2.5198,6.2113,2.8412,0.0910,4.22e-05
163,,2.5179,,,,4.09e-05
164,,2.5212,6.2088,2.8395,0.0909,3.96e-05
165,,2.5201,,,,3.83e-05
166,,2.5174,6.2106,2.8400,0.0909,3.71e-05
167,,2.5139,,,,3.58e-05
168,,2.5164,6.2118,2.8426,0.0909,3.47e-05
169,,2.5138,,,,3.35e-05
170,,2.5099,6.2086,2.8384,0.0908,3.24e-05
171,,2.5144,,,,3.13e-05
172,,2.5075,6.2082,2.8380,0.0909,3.03e-05
173,,2.5106,,,,2.93e-05
174,,2.5099,6.2077,2.8356,0.0908,2.83e-05
175,,2.5137,,,,2.73e-05
176,,2.5079,6.2075,2.8362,0.0909,2.64e-05
177,,2.5097,,,,2.55e-05
178,,2.5072,6.2077,2.8360,0.0908,2.47e-05
179,,2.5072,,,,2.39e-05
180,,2.5075,6.2066,2.8355,0.0909,2.31e-05
181,,2.5098,,,,2.23e-05
182,,2.5073,6.2057,2.8337,0.0909,2.16e-05
183,,2.506,,,,2.09e-05
184,,2.5068,6.2068,2.8340,0.0909,2.03e-05
185,,2.5047,,,,1.97e-05
186,,2.5008,6.2048,2.8332,0.0909,1.91e-05
187,,2.5023,,,,1.86e-05
188,,2.5004,6.2058,2.8334,0.0909,1.81e-05
189,,2.5038,,,,1.77e-05
190,,2.5064,6.2043,2.8326,0.0909,1.72e-05
191,,2.5054,,,,1.68e-05
192,,2.503,6.2046,2.8328,0.0909,1.65e-05
193,,2.5064,,,,1.62e-05
194,,2.5059,6.2042,2.8332,0.0909,1.59e-05
195,,2.504,,,,1.57e-05
196,,2.5028,6.2031,2.8312,0.0909,1.55e-05
197,,2.4996,,,,1.53e-05
198,,2.5007,6.2037,2.8318,0.0909,1.52e-05
199,,2.4972,,,,1.51e-05
200,,2.5023,6.2043,2.8322,0.0909,1.50e-05
